Id,City,NeighborHood,AuxiliaryRoad, CoffeeShopName,StartAt,EndAt,CountOfFeaturs,PhoneNumber,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,TotalRate,QualityPoint,ServicePoint,DecorationPoint,WorthRatio
30,تهران,اندرزگو, حدفاصل کاوه و قيطريه، نبش خيابان مهر محمدی جنوبی، برج ديانا، طبقات١٠و١١,گارنت,12:00,24:00:00,2,2149927,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
31,تهران,خیابان نیاوران, خیابان مقدسی( مژده)،خیابان لاریجانی،نبش ظهیرالدوله,باران,10:00,24:00:00,4,2122694453,0,0,0,0,1,1,0,1,1,0,0.0,0,0,0,0
32,تهران,یوسف آباد," میدان سلماس ، تقاطع فتحی شقاقی و
بیستون پلاک 32",هتریک,12:00,24:00:00,2,2188334818,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
33,تهران,خیابان کریمخان,خیابان نجات الهی،خیاباان سپند،تقاطع قرنی،جنب هتل آرام,بوردیکا,12:00,24:00:00,1,2186037928,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
34,تهران,حکیمیه,بلوار بهار،نبش زهدی،پلاک14، طبقه2,میستری باکس,12:00,24:00:00,1,9375250154,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
35,تهران,حکیمیه,بلوار بهار، خیابان بهشت، بهار ۱، پلاک ۳۶,مون لایت لانژ,12:00,24:00:00,2,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
36,تهران,اندرزگو,سلیمی جنوبی،نبش نعمتی،پلاک ۷۰,توسکافه,8:30,24:00:00,3,2122242450,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
37,تهران,پل  پارک وی,چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20,دل پیانو,12:00,24:00:00,3,2122381091,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
38,تهران,سعادت آباد,میدان بهرود،خیابان عابدی،نبش کوچه سی ششم پلاک ۱۷,ریون,11:00,24:00:00,2,2122112837,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
39,تهران,میدان تجریش, جنب شمرون کباب,مانستر,7:00,24:00:00,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
40,تهران,نارمک,ضلع شرقی میدان نبوت،نبش کوچه فاطمه الزهرا،پلاک۳۳,اِس,9:00,24:00:00,2,2177955977,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
41,تهران,چهارراه ولیعصر, خیابان خارک، کوچه داوری، پلاک ٣,تلما (ولیعصر),9:00,24:00:00,2,9199673742,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
42,تهران,خيابان شريعتى, بالاتر از پل صدر، نبش كوچه داد (حافظى)، پاساژ الماس، طبقه همكف,ژانوی,9:00,24:00:00,2,2140229014,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
43,تهران,شهرک غرب, خیابان ایران زمین، خیابان گلستان جنوبی، جنب بانک ایران زمین، پلاک 9,سی تی پلاس,9:30,24:00:00,2,9361298909,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
44,تهران,میدان رسالت, خیابان هنگام، سه راه طاهرخانی، نبش کوچه بهار,همنشین,9:00,24:00:00,2,2177224574,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
45,تهران, میدان شاپور, بین خیابان طبرستان و بشیری، پلاک۶۴۸,بابا طاهر,11:00,24:00:00,2,2155381966,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0
46,تهران,سعادت آباد,بالاتر از میدان کاج، بین خیابان عبقری و گلستان دوم,سیزده 50,9:00,24:00:00,3,2122359015,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,0
47,تهران,بلوار فردوس شرق, بين خیابان عقيل و حسن آباد،پلاك ٣٦٧,دریم لند,16:00,24:00:00,1,2144978731,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
48,تهران,بزرگراه آیت الله کاشانی,نبش خیابان عقیل,بلو بیسترو,12:00,24:00:00,2,2144000999,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
49,تهران,مرزداران غربی, خیابان ابراهیمی، برج الوند طبقه ۲,سماع افلاک,9:00,24:00:00,3,2144262252,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
50,تهران,خیابان فاطمی, خیابان دائمی، خیابان سازمان آب، پلاک ۳۶,انگرام,10:30,24:00:00,1,2188391669,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
51,تهران,پاسداران, نگارستان یکم,چیاکو (پاسداران),8:00,24:00:00,1,2122871020,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
52,تهران,تهرانپارس, خیابان گلبرگ، خیابان۱۱۳(صادقی)، نبش خیابان ۱۴۴غربی(ستانی),لنا (تهرانپارس),10:00,24:00:00,2,2177871000,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
53,تهران,پاسداران,گلستان دوم(فلاح زاده)،پلاک 109,حیاط نیوا,9:30,24:00:00,3,2122797883,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
54,تهران,جنت آباد شمالي,بالا تر از چهار راه ايرانپارس،انتهاي خيابان كوروش شرقي،بالاي فرشگاه كوروش,رزاموند,12:00,24:00:00,1,2144820235,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
55,تهران,خیابان گاندی,پاساژ گاندی،طبقه اول,دو فرانس,10:00,24:00:00,1,2188792038,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
56,تهران,مجیدیه شمالی, بلوار کاووسی ( بلوار بیژن )، بالاتر از گلستان دهم، پلاک ۱۳۵,بی قرار,11:00,24:00:00,1,9121275796,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
57,تهران,میدان منیریه, خیابان معیری، پلاک 116 و 118,گالری فرش,9:00,24:00:00,2,215538849,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
58,تهران,خیابان انقلاب, بین شریعتی و پل‌چوبی، کوچه توانا,کایوتی,10:00,24:00:00,2,2177538496,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
59,تهران,فرمانیه, نارنجستان ۷ ، مجتمع تجاری پارک سنتر ، طبقه اول,هل,16:30,24:00:00,2,2140224257,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0
60,تهران,اتوبان ستاری, کوروش مال، طبقه همکف واحد ۹,بشکه (ستاری),11:00,24:00:00,1,9357320021,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
61,تهران,بلوار کشاورز, خیابان کبکانیان، پلاک ۵,هیچ,10:00,24:00:00,1,2188953370,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
62,تهران,قیطریه, بلوار اندرزگو، خیابان اشکستان پورجنوبی،پلاک ۸,فانتینو,8:00,24:00:00,3,2122215541,0,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0
63,تهران,خیابان شریعتی, پایین تر از حسینه ارشاد ، نبش کوچه کامیار,پاتوق (حسینیه ارشاد),12:00,24:00:00,2,2122251343,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
64,تهران,خیابان پاسداران, مابین نگارستان ۲ و۳,نوتلا لند,12:00,24:00:00,2,2122845143,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
65,تهران,یوسف آباد, نبش شصت و سوم,بهدونه,12:00,24:00:00,2,2188623619,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
66,تهران,میدان تجریش, خیابان جلالوند، پ 6,طلائی,10:00,24:00:00,1,2122717877,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
67,تهران,اختیاریه جنوبی,روبه روی بوستان 22 بهمن,سیصد و شصت و پنج,9:00,24:00:00,3,2126474397,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0
68,تهران,میدان نیاوران(باهنر), ضلع شمالی,مس,8:30,24:00:00,4,2126116400,0,0,1,0,1,0,0,1,1,0,0.0,0,0,0,0
69,تهران,هروی,خیابان ساقدوش،انتهای کوچه عدالت,بیکری گراس,9:00,24:00:00,4,2122332125,0,0,1,0,1,0,0,1,1,0,0.0,0,0,0,0
70,تهران,خيابان كريمخان, خيابان عضدى ( آبان )جنوبي خيابان شهيد جعفر شهرى، تماشاخانه سپند,باور,15:00,24:00:00,3,9375738278,0,0,1,0,1,0,0,0,1,0,0.0,0,0,0,0
71,تهران,‌شهرک غرب,خیابان سپهر،گلبرگ سوم،انتهای کوچه رضایی غربی,والهالا,12:00,24:00:00,3,2188368920,0,0,1,0,1,1,0,0,0,0,0.0,0,0,0,0
72,تهران,ایرانشهر, نبش خیابان یگانه,طهرون (ایرانشهر),8:00,24:00:00,3,2188315233,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0
73,تهران,خیابان ایرانشهر, خیابان بهشهر، پلاک ۹,حوض کاشی,9:00,24:00:00,4,2188491389,0,0,1,0,1,0,0,1,1,0,0.0,0,0,0,0
74,تهران,فلسطين شمالي,خيابان فيروز دهقان پلاك ٣,پل آرت,12:00,24:00:00,3,2188963222,0,0,1,0,1,0,0,0,1,0,0.0,0,0,0,0
75,تهران,نياوران, خیابان محمودی ۳ ، پلاک ۷,رویال رز,9:00,24:00:00,4,9912714132,0,0,1,0,1,0,0,1,1,0,0.0,0,0,0,0
